"bill_title","bill_id"
"Civil Aviation (Consumer Protection and Regulatory Reform) Bill [HL]",4125
"Commercial Payments Bill [HL]",4128
"Financial Services and Markets Bill [HL]",4129
"Health Bill",4124
"Immigration and Asylum Bill",4254
"National Security (State Threats) Act 2026",4140
"Social Housing Bill [HL]",4126
"Sporting Events Bill [HL]",4127
"Steel Industry (Nationalisation) Act 2026",4123
"Supply and Appropriation (Main Estimates) Act 2026",4253
"Taxation (Energy and Vehicles) Act 2026",4207
"Taxation (Energy and Vehicles) Bill",4212
"Taxation (Energy and Vehicles) Bill",4211
